uph_sg,COD
ALTO TELES PIRES,1
EIRIPECURU,2
LITORANEA AL 02,3
PAJEU 01,4
BAIXO IVAÍ/PARANÁ1,5
RECONCAVO 01,6
S LOURENCO 01,7
BOIS/TURVO,8
ALTO VERDE PEQUENO,9
MOXOTO 01,10
ALTO PARU DO LESTE,11
UNA 01,12
DOCE 02,13
CÓRREGO DO SAL,14
SERTÕES DE CRATEÚS,15
AMAPARI,16
PAR SUL 07,17
MAPUERA,18
CACHOEIRA 01,19
MEDIO MADEIRA,20
CLARO/JATAÍ,21
PERUÍPE E +2,22
LT SC 02,23
CURAÇÁ,24
CARINHANHA 02,25
URUGUAI NAC 05,26
AGUAPEI 01,27
ALTO PIRANHAS,28
ALTO BRANCO,29
LT RS 01,30
JURUA JUTAI,31
CORURIPE 01,32
PUNAU 01,33
GURGUÉIA,34
BAIXO TROMBETAS,35
TIETE 04,36
ALTO MEDIO TOCANTINS,37
DOURADOS,38
ALTO MEDIO ARAGUAIA,39
JAUAPERI,40
URUGUAI NAC 06,41
SÃO BARTOLOMEU,42
URUÇUÍ-PRETO,43
JAGUARIBE 01,44
BAIXO MORTES,45
MEARIM 01,46
LITORANEA SP 01,47
IGUACU 04,48
SUBMEDIO TOCANTINS,49
RIBEIRA 02,50
URUGUAI NAC 08,51
ILHABELA,52
JEQUITINHONHA 02,53
LITORANEA PE 01,54
JAGUARIBE 04,55
URUGUAI INT 02,56
Grande extenso,57
GRANDE 15,58
BAIXO ARAGUAIA,59
SUBMEDIO PURUS,60
LITORANEA CE 02,61
VAZA BARRIS 02,62
GUAIBA 07,63
CEARA MIRIM 01,64
PARAOPEBA 01,65
DEMINI,66
LT ES 05,67
SIRINHAEM 01,68
VERDÃO/VERDINHO,69
CORUMBÁ,70
ALTO ARAGUAIA,71
URUGUAI INT 05,72
ARANTES/DA PRATA,73
PAR SUL 03,74
PACUI 01,75
PARNAIBA 06,76
Pontal,77
DIFUSAS AL PARNAÍBA,78
ACARA GUAMA,79
URUGUAI NAC 10,80
ITABAPOANA 01,81
CORRENTES-MT,82
R SANTANA/R APORÉ,83
ALTO MORTES,84
LT SC 10,85
GRANDE 09,86
GRANDE 11,87
PREGUIÇAS,88
LT SC 06,89
MEDIO XINGU,90
ALTO PURUS I,91
DOCE 03,92
TIJUCO/ITUIUTABA,93
JURUA PURUS,94
ITAPECURU 01,95
PARACATU 02,96
BOQUEIRAO 01,97
BAIXO JURUA,98
LT RS 03,99
ALTO JAPURÁ,100
IGUATEMA 01,101
GURUPI 01,102
PARDO 01,103
NEGRO RS 01,104
BAIXO PARANAPANEMAPR,105
ITAPEMIRIM 01,106
MEDIO JURUENA,107
POTENGI 01,108
GRANDE 10,109
UATUMÃ-NEGRO,110
ALTO XINGU,111
PARNAIBA 07,112
GOIANA 01,113
RIBEIRA 01,114
LT ES 01,115
VERÍSSIMO/CATALÃO,116
DIFUSAS BX PIRANHAS,117
BAIXO JARI,118
S FRANC 05,119
TIETE 02,120
ALTO VERDE GRANDE,121
IGUACU 02,122
PARAGUAI-PANTANAL,123
PARANAIBA 07,124
JAURU,125
PAR SUL 05,126
LITORANEA PE 03,127
SERRA DA IBIAPABA,128
ITAUNAS 01,129
PARANAP 07,130
CURIMATAU 01,131
ITUXI,132
ALTO UATUMÃ,133
PARANAÍBA/PATOS MG,134
LITORANEA AL 04,135
SUCURIU 01,136
MEDIO ARAGUAIA,137
URUGUAI INT 03,138
PARANA TOC,139
CORRENTE 01,140
MAMORE,141
DOCE 01,142
MD PIRANHAS RN,143
MEDIO JURUA,144
TRAIRI 01,145
GUAIBA 05,146
PAR SUL 06,147
ALTO GUAPORÉ,148
XINGU TAPAJOS,149
LT PR 01,150
PEIXE,151
TROMBETAS-UATUMÃ,152
TIETE 03,153
JAVARI JUTAI,154
LITORANEA SP 02,155
NEGRO MS,156
IRIRI,157
GUANDU,158
IPANEMA 01,159
MÉDIO PARANAPANEMAPR,160
MEDIO TAPAJOS,161
PAR SUL 04,162
JI PARANA,163
TAPAUA,164
BCS LESTE R ITAÚNAS,165
POTI,166
URUGUAI NAC 07,167
CURUCA,168
OIAPOQUE,169
TIMBÓ/IGUAÇU,170
MUCURI 01,171
LITORANEA PA 01,172
CATU 01,173
LITORANEA RN 04,174
Brígida,175
ALTO PARAGUAI SUP,176
BAIXO PARU DO LESTE,177
BAIXO BRANCO,178
TIETE 05,179
MAMPITUBA RS,180
LITORANEA PE 04,181
SAO MATEUS 02,182
DESCOBERTO,183
JEQUITAI 01,184
LT SC 09,185
URUGUAI INT 01,186
BAIXO VERDE GRANDE,187
S FRANC 02,188
TIETE 01,189
PATAXÓ,190
DIF BARR BESPERANÇA,191
SJ DOURADOS 01,192
GRANDE 03,193
LT PA 01,194
LITORANEA RJ 03,195
Perdição,196
GRANDE 12,197
BAIXO ARIPUANA,198
LT SC 01,199
JARI-PARU,200
APA,201
GOIÂNIA,202
BAIXO PURUS,203
MIRANDA,204
LT RS SC 02,205
BAIXO MADEIRA SUCUND,206
LT SC 05,207
DOCE 07,208
PIANCÓ,209
MD E BX GORUTUBA,210
ALTO TOCANTINS,211
Paraíba PB,212
LT SC 03,213
CAPIA 02,214
URUGUAI NAC 09,215
ALTO GORUTUBA,216
ALCOBACA 01,217
LITORANEA AL 03,218
BAIXO JAPURÁ,219
PARAÚ,220
PCJ,221
PEIXE SP 01,222
MUCAJAÍ,223
LT RS 04,224
VERDE,225
VERDE MS 01,226
GRANDE 14,227
CLARO/DOCE,228
Litoral Sul/GL6,229
PARNAIBA 01,230
MEsqSobraqdinho,231
JAGUARIBE 02,232
MUNDAU 02,233
ACARAU 01,234
GUAIBA 02,235
ALTO PURUS II,236
PARNAIBA 03,237
JACU RN,238
MUNIM 01,239
DIFUSAS MD PRN,240
S FRANC 18,241
PURUS MADEIRA,242
ARINOS,243
GURUPI 02,244
MED TOCANTINS 02,245
S FRANC 04,246
BAIXO XINGU,247
