uph_sg,uph_rhi_cd,uph_cd
CURIMATAÃš PB,"4","412"
CURU 01,"4","413"
DIFUSAS BX PIRANHAS,"4","414"
DOCE RN 01,"4","415"
ESPINHARAS,"4","416"
GOIANA 01,"4","417"
GUAJU,"4","418"
IPOJUCA 01,"4","419"
JACU PB,"4","420"
JACU RN,"4","421"
JAGUARIBE 01,"4","422"
JAGUARIBE 02,"4","423"
JAGUARIBE 03,"4","424"
JAGUARIBE 04,"4","425"
JAGUARIBE 05,"4","426"
JAGUARIBE 06,"4","427"
LITORAL NORTE PB,"4","428"
Litoral Sul/GL6,"4","429"
LITORANEA AL 01,"4","430"
LITORANEA AL 02,"4","431"
LITORANEA AL 03,"4","432"
LITORANEA AL 04,"4","433"
LITORANEA AL 05,"4","434"
LITORANEA CE 01,"4","435"
LITORANEA CE 02,"4","436"
LITORANEA CE 03,"4","437"
LITORANEA PE 01,"4","438"
LITORANEA PE 02,"4","439"
LITORANEA PE 03,"4","440"
LITORANEA PE 04,"4","441"
LITORANEA PI 01,"4","442"
LITORANEA RN 04,"4","443"
LITORANEA RN 05,"4","444"
LITORANEA RN 07,"4","445"
MAXARANGUAPE 01,"4","446"
MD PIRANHAS PB,"4","447"
MD PIRANHAS PB/RN,"4","448"
MD PIRANHAS RN,"4","449"
MUNDAU 01,"4","450"
MUNDAU 02,"4","451"
PARAIBA 01,"4","452"
PARAIBA 02,"4","453"
ParaÃ­ba PB,"4","454"
MEDIO JURUENA,"1","168"
MEDIO MADEIRA,"1","169"
MÃ‰DIO NEGRO,"1","170"
MEDIO PURUS,"1","171"
MEDIO TAPAJOS,"1","172"
MEDIO TELES PIRES,"1","173"
MEDIO XINGU,"1","174"
MUCAJAÃ,"1","175"
NASCENTES DO XINGU,"1","176"
NEGRO-JAPURÃ,"1","177"
OIAPOQUE,"1","178"
PARU-TROMBETAS,"1","179"
PURUS MADEIRA,"1","180"
RIO ACRE,"1","181"
ROOSEVELT,"1","182"
SOLIMÃ•ES,"1","183"
SUBMEDIO PURUS,"1","184"
TACUTU-SURUMU-COTINGO,"1","185"
TAPAUA,"1","186"
TARAUACA,"1","187"
TROMBETAS-UATUMÃƒ,"1","188"
UAÃ‡Ã,"1","189"
UATUMÃƒ-NEGRO,"1","190"
URARICOERA,"1","191"
XINGU TAPAJOS,"1","192"
ALCOBACA 01,"2","201"
CACHOEIRA 01,"2","203"
Caueira/AbaÃ­s,"2","204"
CONTA 01,"2","205"
"DOS FRDS, BUR, STANT","2","206"
ITAPICURU 01,"2","207"
ITAUNAS 01,"2","208"
JAPARATUBA 01,"2","209"
JEQUITINHONHA 01,"2","210"
JEQUITINHONHA 02,"2","211"
JEQUITINHONHA 03,"2","212"
JEQUITINHONHA 04,"2","213"
MUCURI,"2","214"
PERUÃPE E +2,"2","215"
MUCURI 01,"2","216"
OSTRAS E DO 1/2,"2","217"
PARAGUACU 01,"2","218"
PARDO 01,"2","219"
PARDO 02,"2","220"
PIAUI 01,"2","221"
REAL 01,"2","222"
RECONCAVO 01,"2","224"
RECONCAVO 02,"2","225"
S MATEUS 01,"2","227"
SERGIPE 01,"2","229"
VAZA BARRIS 01,"2","230"
VAZA BARRIS 02,"2","231"
LITORANEA PA 01,"3","304"
LT PA 01,"3","305"
MUNIM 01,"3","307"
PERIÃ,"3","308"
PERICUMA 01,"3","309"
PREGUIÃ‡AS,"3","310"
TURIACU 01,"3","311"
ACARAU 01,"4","401"
ALTO PIRANHAS,"4","402"
APODI MOSSORÃ“,"4","403"
BOQUEIRAO 01,"4","404"
CAMARAGIBE 01,"4","405"
CAPIBARIBE 01,"4","406"
CATU 01,"4","407"
CEARA MIRIM 01,"4","408"
CÃ“RREGO DO SAL,"4","409"
CORURIPE 01,"4","410"
CURIMATAU 01,"4","411"
PARAÃš,"4","455"
ABUNÃƒ-MADEIRA,"1","101"
ALTO ARAGUARI,"1","102"
ALTO BRANCO,"1","103"
ALTO GUAPORÃ‰,"1","104"
ALTO JAPURÃ,"1","105"
ALTO JARI,"1","106"
ALTO JURUÃ,"1","107"
ALTO JURUENA,"1","108"
ALTO NEGRO,"1","109"
ALTO PARU DO LESTE,"1","110"
ALTO PURUS I,"1","111"
ALTO PURUS II,"1","112"
ALTO TAPAJOS,"1","113"
ALTO TELES PIRES,"1","114"
ALTO TROMBETAS,"1","115"
ALTO UATUMÃƒ,"1","116"
ALTO XINGU,"1","117"
AMAPARI,"1","118"
ARINOS,"1","119"
ARIPUANA,"1","120"
BAIXO ARAGUARI,"1","121"
BAIXO ARIPUANA,"1","122"
BAIXO BRANCO,"1","123"
BAIXO IÃ‡Ã,"1","124"
BAIXO JAPURÃ,"1","125"
BAIXO JARI,"1","126"
BAIXO JURUA,"1","127"
BAIXO JURUENA,"1","128"
BAIXO MADEIRA SUCUND,"1","129"
BAIXO NEGRO,"1","130"
BAIXO PARU DO LESTE,"1","131"
BAIXO PURUS,"1","132"
BAIXO TAPAJOS,"1","133"
BAIXO TELES PIRES,"1","134"
BAIXO TROMBETAS,"1","135"
BAIXO UATUMÃƒ,"1","136"
BAIXO XINGU,"1","137"
CACHORRO,"1","138"
CURUCA,"1","139"
DEMINI,"1","140"
EIRIPECURU,"1","141"
FOZ DO AMAZONAS,"1","142"
IPITINGA,"1","143"
IRIRI,"1","144"
ITUI,"1","145"
ITUXI,"1","146"
JAMANXIM,"1","147"
JAMARI,"1","148"
JAPURÃ-IÃ‡Ã,"1","149"
JARI-PARU,"1","150"
JATAPU,"1","151"
JAUAPERI,"1","152"
JI PARANA,"1","154"
JURUA MIRIM,"1","155"
JURUA PURUS,"1","156"
JUTAI,"1","157"
LITORÃ‚NEAS DO AMAPÃ,"1","158"
MADEIRA TAPAJOS,"1","159"
MAMORE,"1","160"
MAPUERA,"1","161"
MARGEM SUL,"1","164"
MEDIO GUAPORE,"1","165"
MÃ‰DIO JARI,"1","166"
MEDIO JURUA,"1","167"
URUGUAI NAC 10,"12","1218"
URUGUAI NAC 11,"12","1219"
JURUA JUTAI,"1","193"
JAVARI JUTAI,"1","153"
BCS LESTE R ITAÃšNAS,"2","202"
RIACHO DOCE,"2","226"
SAO MATEUS 02,"2","228"
GURUPI 02,"3","302"
GURUPI 01,"3","301"
PATAXÃ“,"4","456"
PEIXE,"4","457"
PIANCÃ“,"4","458"
PIRANGI 01,"4","459"
POTENGI 01,"4","460"
PUNAU 01,"4","461"
SERIDÃ“,"4","462"
SIRINHAEM 01,"4","463"
TRAIRI 01,"4","464"
UNA 01,"4","465"
DOCE 01,"5","501"
DOCE 02,"5","502"
DOCE 03,"5","503"
DOCE 04,"5","504"
DOCE 05,"5","505"
DOCE 06,"5","506"
DOCE 07,"5","507"
DOCE 07,"5","508"
DOCE 07,"5","509"
GUANDU,"5","510"
GUANDU-MDPBS,"5","511"
ILHABELA,"5","512"
ITABAPOANA 01,"5","513"
ITABAPOANA 02,"5","514"
ITABAPOANA 02,"5","515"
ITAPEMIRIM 01,"5","516"
LITORANEA RJ 01,"5","517"
LITORANEA RJ 03,"5","518"
LITORANEA RJ 04,"5","519"
LITORANEA RJ 05,"5","520"
LITORANEA SP 01,"5","521"
LITORANEA SP 02,"5","522"
LT ES 01,"5","524"
LT ES 02,"5","525"
LT ES 03,"5","526"
LT ES 04,"5","527"
LT ES 05,"5","528"
LT ES 07/06,"5","529"
PAR SUL 01,"5","530"
PAR SUL 02,"5","531"
PAR SUL 03,"5","532"
PAR SUL 04,"5","533"
PAR SUL 05,"5","534"
PAR SUL 06,"5","535"
PAR SUL 07,"5","536"
PAR SUL 07,"5","537"
RIBEIRA 01,"5","538"
RIBEIRA 02,"5","539"
GUAIBA 01,"6","601"
GUAIBA 02,"6","602"
GUAIBA 03,"6","603"
GUAIBA 04,"6","604"
GUAIBA 05,"6","605"
GUAIBA 06,"6","606"
GUAIBA 07,"6","607"
GUAIBA 08,"6","608"
GUAIBA 09,"6","609"
ITAJAI 01,"6","610"
LITORAL SUL 01,"6","611"
LT PR 01,"6","613"
LT RS 01,"6","614"
LT RS 02,"6","615"
LT RS 03,"6","616"
LT RS 04,"6","617"
LT RS SC 02,"6","618"
LT SC 01,"6","619"
LT SC 02,"6","620"
LT SC 03,"6","621"
LT SC 04,"6","622"
LT SC 05,"6","623"
LT SC 06,"6","624"
LT SC 08,"6","626"
LT SC 09,"6","627"
LT SC 10,"6","628"
LT SC 11,"6","629"
MAMPITUBA RS,"6","630"
ALTO PARAGUAI MED,"7","701"
ALTO PARAGUAI SUP,"7","702"
ALTO RIO CUIABÃ,"7","703"
ALTO TAQUARI,"7","704"
APA,"7","705"
CORRENTES,"7","706"
MEARIM 01,"3","306"
BAIXO PARNAÃBA PI,"9","902"
MARGEM NORTE,"3","163"
ITAPECURU 01,"3","303"
Terra Nova,"10","1046"
TRAIPU 02,"10","1048"
MOXOTO 01,"10","1024"
ITAPECURU 01,"3","303"
SÃ£o Luis,,
CORRENTES-MT,"7","707"
JAURU,"7","708"
MIRANDA,"7","709"
NABILEQUE,"7","710"
NEGRO MS,"7","711"
PARAGUAI-PANTANAL,"7","712"
S LOURENCO 01,"7","713"
TAQUARI,"7","714"
Afluentes-MD-IGÃ‡,"8","801"
AGUAPEI 01,"8","802"
ALTO SÃƒO MARCOS,"8","803"
AMAMBAI 01,"8","804"
ARAGUARI,"8","805"
ARANTES/DA PRATA,"8","806"
BAIXO IVAÃ/PARANÃ1,"8","807"
BAIXO PARANAPANEMAPR,"8","808"
BAIXO SÃƒO MARCOS,"8","809"
BOIS/TURVO,"8","810"
CLARO/DOCE,"8","811"
CLARO/JATAÃ,"8","812"
CORRENTES/VERDE,"8","813"
CORUMBÃ,"8","814"
DESCOBERTO,"8","815"
DOURADOS,"8","816"
GOIÃ‚NIA,"8","817"
GRANDE 01,"8","818"
GRANDE 02,"8","819"
GRANDE 03,"8","820"
GRANDE 04,"8","821"
GRANDE 05,"8","822"
GRANDE 06,"8","823"
GRANDE 07,"8","824"
GRANDE 08,"8","825"
GRANDE 09,"8","826"
GRANDE 10,"8","827"
GRANDE 11,"8","828"
GRANDE 12,"8","829"
